network;order;k;n_graphs;n_walkers;n_states;n_links;contact_fraction;selected_pairs;selected_triples;d1_pairs_observed;d1_triples_observed;d2_pairs_observed;d2_triples_observed;res1_mean_error;res2_mean_error;res1_sse;res1_mae;res1_max_abs_error;res2_sse;res2_mae;res2_max_abs_error
Amsterdam;0;1000;500;150;39;119;1;5564;21830;4080;5887;3841;3081;0.6851063063449986;0.776815719;2.6488930706458027;0.003657726;0.16765685687687726;2.7701883456594047;0.002491801;0.386528509
Amsterdam;0;10000;500;150;39;119;1;5564;21830;5527;17308;5509;13437;0.6451882213943146;0.732570639;2.1552460885990343;0.003733108;0.11228082047765064;1.4747520153147948;0.002245845;0.15923874365446491
Amsterdam;0;100000;500;150;39;119;1;5564;21830;5564;21773;5564;21404;0.5103476272343286;0.652610583;0.7599711945547207;0.002548591;0.064330599;0.5032544562708015;0.001553901;0.059315717196945394
Amsterdam;0;1000000;500;150;39;119;1;5564;21830;5564;21830;5564;21830;0.3799195184030838;0.4375372791244993;0.069921295;0.000854238;0.016578872911323178;0.037213622;0.000467424;0.015255693365180095
Amsterdam;0;1000001;500;150;39;119;1;5564;21830;5564;21830;5564;21830;0.048655659971240134;0.0543367550047856;5.5685429529407945e-06;5.309915439012603e-06;0.000306626;1.6516999224993726e-22;3.5313805040160283e-14;5.397599752994738e-13
Amsterdam;1;1000;500;150;119;373;1;5638;21896;4483;4698;3980;2228;0.7854130539937708;0.839154756;1.914265340456666;0.002321759;0.44709325551995677;2.132804084;0.001842531;0.29707926729153494
Amsterdam;1;10000;500;150;119;373;1;5638;21896;5520;14875;5454;11481;0.7372021505493865;0.7911045499670066;0.1996432711519693;0.001028134;0.058314471;0.2163917938096164;0.000837893;0.098445914
Amsterdam;1;100000;500;150;119;373;1;5638;21896;5637;21021;5637;19388;0.6535921814585022;0.7230023500251227;0.019140328023331363;0.000332919;0.030581767;0.022606273;0.000274353;0.029115986276617323
Amsterdam;1;1000000;500;150;119;373;1;5638;21896;5638;21862;5638;21668;0.5973815289894069;0.6280744914897591;0.001429714;9.752825876908661e-05;0.006966317;0.002088855;8.521464108190493e-05;0.008585105
Amsterdam;1;1000001;500;150;119;373;1;5638;21896;5638;21862;5638;21668;0.10788329222709206;0.1271395027992815;8.718828705053479e-07;1.929690212081098e-06;0.000177212;1.5984318277379583e-22;3.4357150313573983e-14;5.386128670975908e-13
Budapest;0;1000;500;150;48;144;1;5564;21830;5505;14967;5387;8155;0.7096639931086072;0.7310694807963718;1.684981491784193;0.004003784;0.12651566382889415;1.4068753781517478;0.002611465;0.18182805897123036
Budapest;0;10000;500;150;48;144;1;5564;21830;5564;21737;5564;20437;0.47105180853935974;0.6193965206309777;0.18964128;0.001514646;0.030847876419293645;0.083599658;0.000778516;0.046293078
Budapest;0;100000;500;150;48;144;1;5564;21830;5564;21830;5564;21828;0.3477849298306818;0.4457542714460952;0.022537879605731875;0.000507976;0.009794349;0.007395361;0.000240553;0.006337557
Budapest;0;1000000;500;150;48;144;1;5564;21830;5564;21830;5564;21830;0.31256958735528156;0.3715454598990286;0.001997084;0.00015516;0.002493293;0.00062683;6.99988178147861e-05;0.001432913
Budapest;0;1000001;500;150;48;144;1;5564;21830;5564;21830;5564;21830;0.07214093;0.0997280868488838;2.074827108877841e-06;3.742491093677875e-06;0.000131075;3.3775075329330294e-20;4.971494606419414e-13;1.3051739256332391e-11
Budapest;1;1000;500;150;144;460;1;5638;68740;4355;5912;3671;2138;0.716990431;0.7974950926895388;1.6117417739854605;0.000823341;0.35834300746512493;0.8406089622920958;0.000545439;0.30400874276592676
Budapest;1;10000;500;150;144;460;1;5638;68740;5602;35316;5564;17313;0.7397846046507787;0.7375831685284093;0.523083865;0.00062375;0.1372796297635736;0.4262599083095805;0.000525944;0.11558133835115242
Budapest;1;100000;500;150;144;460;1;5638;68740;5638;64854;5637;53672;0.6677671167660754;0.6528875343806163;0.083043699;0.000268594;0.041234665;0.1518858794441928;0.000269379;0.054501437
Budapest;1;1000000;500;150;144;460;1;5638;68740;5638;68594;5638;67712;0.5924108387317831;0.6112422749292966;0.00943991;9.230919124450665e-05;0.012737403982377715;0.024241006;0.000103354;0.019871046242470936
Budapest;1;1000001;500;150;144;460;1;5638;68740;5638;68594;5638;67712;0.10819957138300804;0.1210829381999374;1.0927971989225808e-06;7.850258787845087e-07;0.000149635;3.386240660219168e-20;1.8336167426582553e-13;1.644284302158563e-11
Copenhagen;0;1000;500;150;44;134;1;5495;21889;4875;7412;4553;3019;0.688083682;0.7809758563342359;4.085450755618235;0.003791941;0.31568819509051804;2.395782479869428;0.002517217;0.3608728802906953
Copenhagen;0;10000;500;150;44;134;1;5495;21889;5472;18495;5443;13746;0.5640417181644585;0.751540258;0.7648301581192603;0.002261836;0.1392021244929564;0.5861050247184549;0.001375467;0.14918928707357126
Copenhagen;0;100000;500;150;44;134;1;5495;21889;5495;21608;5494;20728;0.45334904148800736;0.5712532580854197;0.15057406704979914;0.001113266;0.039860798;0.061998758;0.000522431;0.048299231
Copenhagen;0;1000000;500;150;44;134;1;5495;21889;5495;21885;5495;21829;0.31728160179772374;0.4342975652471609;0.015661922741768905;0.000377343;0.008059329;0.005154633;0.000164819;0.012749861054000639
Copenhagen;0;1000001;500;150;44;134;1;5495;21889;5495;21885;5495;21829;0.025843660892535942;0.0572275709641944;7.086702042835695e-07;1.7241995933949465e-06;0.000128972;3.3231089593632435e-20;4.923659192053365e-13;9.255054823342603e-12
Copenhagen;1;1000;500;150;134;424;1;5477;63528;4128;6758;3598;2401;0.7764908306779741;0.8113956155208745;1.7383680296161703;0.000784702;0.5234194611644154;1.1651974972253585;0.000512666;0.8036400577634525
Copenhagen;1;10000;500;150;134;424;1;5477;63528;5415;34681;5368;18397;0.694739905;0.7931577723495417;0.13652425514233468;0.000414892;0.041693263;0.23155019481552236;0.000275396;0.2631149306143443
Copenhagen;1;100000;500;150;134;424;1;5477;63528;5469;58666;5465;49637;0.5954822369962919;0.6781800955104103;0.015118656169650744;0.000152364;0.014276078;0.007367847;8.20678789400899e-05;0.009872308
Copenhagen;1;1000000;500;150;134;424;1;5477;63528;5477;62982;5477;61711;0.5132646711640815;0.550657683;0.001380976;4.7689122307117197e-05;0.00441631;0.000614858;2.4143893392732178e-05;0.002189698
Copenhagen;1;1000001;500;150;134;424;1;5477;63528;5477;62982;5477;61711;0.10950508480465312;0.1429364025312577;8.395431661852398e-07;9.415310642145878e-07;0.000165604;3.2924180146454307e-20;1.8947096637388787e-13;1.4613885337067717e-11
